"<b>Advanced.</b> Overrides the <code>ipn_callback_url</code> value of created payments","<b>Expert</b>. Sovraccarico del valore <code>ipn_callback_url</code> dei pagamenti creati"
"Customer Cancel URL","URL di annullamento cliente"
"<b>Advanced.</b> Overrides the <code>customer_cancel_url</code> value of created payments","<b>Expert</b>. Sovraccarico del valore <code>customer_cancel_url</code> dei pagamenti creati"
"<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Offer installments payments with Alma and instantly boost your sales.<br>Increase average order value by 60% and your sales by 20%.<br>With no subscription fees and no commitment, it’s risk free: you are paid upfront while your customers pay later.</div>","<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Proponi il semplice pagamento in 3 o 4 rate con Alma.<br>Incrementa il tuo giro d’affari del 20% e il carrello medio del 60%.<br>Senza abbonamento, senza impegno e senza rischi: i tuoi clienti pagano più tardi, tu vieni pagato subito.</div>"
"<p>Some products (gift cards, license keys, software, weapons, ...) cannot be sold with Alma, <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">as per our terms</a> (see Exclusions paragraph).</p><p>If you are selling such products on your shop, you need to configure Alma so that it is not enabled when customers view or shop them.</p>","<p>Alcuni prodotti (carte regalo, chiavi di licenze, software, armi...) non possono essere venduti con Alma, come indicato <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">nelle nostre CGV</a> (si veda il paragrafo Esclusioni).</p><p>Se vendi tali prodotti, dovrai configurare il modulo Alma in modo tale che sia disattivato quando i clienti li consultano o li acquistano.</p>"
"Products exclusions","Esclusione di prodotti"
"Other configuration settings will be made available after you provide valid API keys.","Le altre opzioni di configurazione saranno disponibili non appena le chiavi API saranno configurate correttamente."
"Today","Oggi"
"Pay in %1 installments","Pagamento in %1 rate"
"In %1 days","In %1 days"
"%1 installments","In %1 rate"
"Including fees: %1","Di cui spese: %1"
"Payment plans","Scadenzario"
"Fees applied to each transaction for this plan:","Spese applicate a ciascuna transazione:"
"You pay:","Tu paghi:"
"Customers pay:","I tuoi clienti pagano:"
"no fees","nessuna spesa"
"Minimum amount (€)","Somma minima (€)"
"Minimum purchase amount for which this payment plan will be enabled","Somma minima di acquisto per la quale sarà proposto questo scadenzario"
"Maximum amount (€)","Somma massima (€)"
"Maximum purchase amount for which this payment plan will be enabled","Somma massima di acquisto per la quale sarà proposto questo scadenzario"
"Pay later - <%= deferredType %>+<%= deferredDuration %>","Pagamento differito a <%= deferredType %>+<%= deferredDuration %>"
"Pay in <%= installmentsCount %> installments","Pagamento in <%= installmentsCount %> rate"
"You can offer <%= installmentsCount %>-installment payments for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","Puoi proporre il pagamento in <%= installmentsCount %> rate per montanti compresi tra <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> e <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"You can offer Pay Later payments at <%= deferredType %>+<%= deferredDuration %> for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","Puoi proporre il pagamento a <%= deferredType %>+<%= deferredDuration %> per montanti compresi tra <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> e <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"<%= almaPriceFromCents(variable) %>%","<%= almaPriceFromCents(variable) %>%"
"<%= almaPriceFromCents(fixed) %>€","<%= almaPriceFromCents(fixed) %>€"
"Product page display","Configurazione della visualizzazione a display della pagina prodotti"
"A badge can be displayed on product pages to indicate eligible payments plans","Un badge può essere visualizzato a display sulle pagine dei prodotti per indicare gli scadenzari idonei"
"Activate Alma badge on product pages.","Attiva il badge Alma sulle pagine prodotto"
"Update with qty","Aggiornamento con la quantità"
"Dynamicaly updates the badge's price when product quantity is changed.","Aggiornamento dinamico del badge Alma quando la quantità prescelta cambia"
"Badge position","Posizione del badge"
"Indicates where the badge should appear in product pages.","Indica la posizione del badge sulle pagine prodotto"
"HTML container","Contenitore HTML"
"CSS selector for the custom badge container. (ex: #maincontent or .field.qty)","Selettore CSS del contenitore HTML in cui inserire il badge (ad es.: #maincontent oppure .field.qty) "
"Position in the HTML container","Posizione nel contenitore HTML"
"Begin","Inizio"
"End","Fine"
"After Product Title","Dopo il nome del prodotto"
"Before Product Price","Prima del prezzo del prodotto"
"Before Product Stock","Prima della quantità del prodotto"
"After Product Stock","Dopo la quantità del prodotto"
"After Product Information","Dopo le informazioni del prodotto"
"Before Product AddToCart Button","Prima del tasto di aggiunta al carrello"
"After Product AddToCart Button","Dopo il tasto di aggiunta al carrello"
"After AddTo links","Dopo i link di aggiunta alla lista dei desideri e di aggiunta al comparatore"
"Inside a custom HTML container","All’interno di un contenitore HTML personalizzato"
"Your cart total :","Il tuo carrello: "
"Credit cost :","Costo del credito: "
"Annual interest rate :","Tasso annuo effettivo globale: "
"Total :","Totale: "
"Customers lending rate: ","Tasso di prestito del cliente: "
